InstallSource,Browser,2013-12-23,2013-12-22,2013-12-21,2013-12-20,2013-12-19,2013-12-18,2013-12-17,2013-12-16,2013-12-15,2013-12-14,2013-12-13,2013-12-12,2013-12-11,2013-12-10,2013-12-09,2013-12-08,2013-12-07,2013-12-06,2013-12-05,2013-12-04,2013-12-03,2013-12-02,2013-12-01,2013-11-30,2013-11-29,2013-11-28,2013-11-27,2013-11-26,2013-11-25,2013-11-24
t4pcsuAR,FF,182,173,178,117,117,113,96,115,60,64,99,106,134,193,120,113,107,70,76,102,85,81,87,85,61,28,41,54,64,80
t4pcsuAU,FF,4,3,10,10,15,5,1,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuBE,FF,22,58,50,31,6,4,1,2,,,,,,,,,,,,,,,,,,,,,,
t4pcsuBR,FF,12,18,13,13,17,26,25,13,8,19,24,40,52,71,23,7,8,14,11,12,21,28,23,15,35,19,17,27,31,35
t4pcsuCA,FF,210,131,134,86,88,75,31,6,,,,,,,,,,,,,,,,,,,,,,
t4pcsuCL,FF,126,106,145,131,146,163,82,63,26,32,87,68,9,3,11,6,6,10,6,15,15,13,15,11,13,10,4,,,
t4pcsuCO,FF,264,192,267,354,404,322,210,210,154,225,307,160,97,120,152,134,195,168,141,152,163,153,157,178,159,109,100,91,90,80
t4pcsuDK,FF,7,6,7,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuES,FF,233,323,272,179,148,134,233,236,258,281,236,211,75,99,73,55,41,25,24,40,28,42,51,35,30,31,28,34,51,37
t4pcsuFI,FF,,,,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuFR,FF,1476,1746,1317,1081,799,286,238,209,237,160,156,128,147,131,198,239,219,185,279,299,313,347,420,300,182,190,149,173,269,354
t4pcsuIN,FF,181,121,184,175,141,146,154,233,130,225,448,125,126,110,179,110,271,208,225,235,257,267,184,279,252,239,247,254,237,155
t4pcsuIT,FF,93,95,87,82,80,109,95,31,,,,,,,,,,,,,,,,,,,,,,
t4pcsuJP,FF,38,61,64,77,45,29,20,14,16,11,5,6,8,8,25,34,29,23,38,33,31,29,41,37,29,26,43,41,30,44
t4pcsuMX,FF,132,115,106,112,174,243,236,196,159,173,206,201,275,322,140,101,101,69,73,78,109,124,106,79,86,78,78,72,90,89
t4pcsuMY,FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14
t4pcsuNL,FF,44,37,38,31,3,1,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuNO,FF,,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
t4pcsuNZ,FF,2,4,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,
t4pcsuofcourse,FF,10,9,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,
